Source,Target,Weight
1451096,190409,81905
1451096,137057,116
1386171,1453770,224666
1399267,1453770,28
721947,1453770,6743
1453770,750859,126
1453770,530280,396
1453770,97860,8241
1453770,343726,6678
1453770,598475,1059
1453770,1386171,233606
1453770,1232643,1147
1453770,721947,2106
1453770,1541442,18617
1453770,1399267,4089
1453770,912653,962
1453770,971321,25781
1453770,274932,119
1453770,190409,415683
190409,88928,8423
631419,88928,172
1422627,88928,11
88928,907767,40
88928,631419,26228
88928,190409,3063541
88928,1382789,89
1386171,1417229,2565
1272999,1417229,36
1417229,640311,234
1417229,1133504,188
1417229,1343860,2564
1417229,1272999,189
1417229,1347107,285
1417229,1411529,9218
1417229,1236445,204
1417229,635384,449165
1417229,380056,162
1417229,246143,1669
1417229,1527843,1557
1417229,1422627,594
1417229,190409,152021
190409,1358867,20024
1601705,1358867,23
411990,1358867,3769
971321,1358867,2036
721947,1358867,805
399324,1358867,412
1358867,721947,21088
1358867,190409,589589
1358867,1601705,1422
1358867,399324,8592
1358867,1382789,2712
1358867,971321,40483
1358867,411990,210612
538127,451684,4222
451684,143755,147
451684,190409,24853
451684,1422627,7
1567405,97860,23
1567405,274932,185
1567405,1399267,352
1567405,1219086,9
1567405,1232643,16
1567405,750859,272
1567405,190409,48416
1567405,1422627,18
1371865,35289,116
1371865,190409,40024
1371865,971321,763
1371865,1422627,395
439456,940393,249
1386171,940393,3151
190409,940393,8823
940393,35289,7500
940393,1219086,15495
940393,1343860,3136
940393,813589,322
940393,1422627,2250
940393,190409,844547
274932,1176747,29
1386171,1176747,17827
1176747,274932,2399
1176747,41009,71
1176747,1378110,794
1176747,1422627,31412
190409,26704,59509
1382789,26704,21
26704,1601705,95
26704,1399267,64
26704,750859,122
26704,384082,871
26704,1087501,146905
26704,813589,175
26704,1422627,57031
26704,190409,5182670
26704,542907,588
26704,1382789,5442
1351629,190409,49810
1386171,1068618,38000
1601705,1068618,31010
411990,1068618,64
538127,1068618,5420
1068618,598475,208
1068618,1601705,8437
1068618,813589,1369
1068618,538127,16577
1068618,411990,113218
1068618,190409,5050062
721947,84050,4079
84050,61403,375
84050,1124667,30
84050,274932,54
84050,389306,95
84050,502609,756
84050,190409,948114
84050,912653,7
84050,813589,8
84050,1382789,63
1386171,1145135,25646
97860,1145135,11
1527843,1145135,11614
190409,1145135,637
884597,1145135,65
1145135,97860,5596
1145135,1219086,913
1145135,1285458,28886
1145135,1124667,3610
1145135,1527843,134670
1145135,884597,2504
1145135,411990,36274
1145135,190409,807562
1145135,813589,384
190409,842063,338
252145,842063,200435
538127,842063,5388
842063,97860,2142
842063,907767,857
842063,380056,89
842063,274932,70
842063,71453,276
842063,538127,40712
842063,1086635,12
842063,190409,236230
842063,252145,4192437
41009,1309844,395
1386171,1309844,155253
1527843,1309844,277524
1411529,1309844,7343
190409,1309844,348072
1541442,1309844,805
1309844,41009,19581
1309844,1399267,55
1309844,1541442,17710
1309844,1236445,3173
1309844,1527843,96556
1309844,1411529,311475
1309844,813589,259
1309844,190409,2936247
1378110,716751,150
1399267,716751,639
97860,716751,291
1386171,716751,221618
190409,716751,1440
716751,598475,572
716751,1378110,295
716751,35289,325
716751,97860,7479
716751,1236445,2936
716751,522593,284
716751,813589,1369
716751,1232643,12214
716751,190409,1549421
1386171,86111,528
97860,86111,290
1527843,86111,10777
190409,86111,16187
1236445,86111,9215
380056,86111,104
252145,86111,355
166461,86111,248300
86111,598475,1330
86111,709934,93762
86111,1582829,19980
86111,380056,40
86111,97860,1633
86111,166461,2129248
86111,1527843,95374
86111,522593,216
86111,252145,1228
86111,1334686,46
86111,1399267,3284
86111,190409,1715086
86111,813589,496
86111,1236445,67791
1386171,44906,232463
439456,44906,54
190409,44906,8895
971321,44906,3016
721947,44906,3647
452998,44906,132281
538127,44906,3068
137447,44906,1445300
44906,1399267,437
44906,389306,4079
44906,137447,20298
44906,452998,1008622
44906,1232643,206
44906,538127,78177
44906,971321,76753
44906,190409,1669898
1386171,1272138,56248
274932,1272138,36
1399267,1272138,10
190409,1272138,19479
240642,1272138,28
971321,1272138,1661
709934,1272138,128236
166461,1272138,304704
1272138,166461,2650281
1272138,709934,2935634
1272138,1124667,1005
1272138,598475,1753
1272138,1422627,2603
1272138,274932,472
1272138,530280,175
1272138,671806,10527
1272138,1399267,703
1272138,971321,13475
1272138,190409,1857675
1272138,240642,2747
1272138,489273,15892
411990,618935,3187
190409,618935,172188
1134113,618935,1755
618935,1601705,78
618935,498017,7658
618935,1236445,4988
618935,1399267,3980
618935,380056,238
618935,1134113,26899
618935,1219086,1683
618935,907767,1720
618935,411990,179483
618935,822596,42
618935,1382789,5460
618935,190409,3065875
1272999,303588,2090
1386171,303588,1748
97860,303588,2342
190409,303588,74183
659801,303588,220764
252145,303588,68486
631419,303588,1737888
757693,303588,7165
452998,303588,929289
399324,303588,617
303588,1272999,6562
303588,126550,48372
303588,544348,3093
303588,97860,20136
303588,1124667,265
303588,757693,30552
303588,1026062,5905
303588,631419,5322
303588,1399267,6806
303588,1570509,17424
303588,252145,2313012
303588,399324,17941
303588,190409,1151207
303588,452998,13987353
1386171,691305,1503
691305,1343860,1638
691305,35289,20
691305,542907,28
691305,1411529,3730
691305,190409,33171
1386171,754189,3769
343726,754189,148
190409,754189,3257
78485,754189,2
137447,754189,1661
754189,907767,650
754189,1124667,531
754189,190409,1126714
754189,671806,86268
754189,78485,41489
754189,399324,5655
770317,1399267,64
770317,1527843,636
770317,1422627,1936
770317,190409,14262
770317,1124667,121
